case_id,input_text,expected_category,notes
E01,"I am worn out after a long day of emails, but there is no pain and I could manage a shorter session.",adapt,"Independent paraphrase of work-fatigue adaptation."
E02,"My muscles feel mildly stiff from yesterday, nothing sudden, and I want to lower today's effort.",adapt,"Independent paraphrase of ordinary post-training soreness."
E03,"I am halfway through and would rather stop early because my energy is lower than expected.",adapt,"Independent early-finish example."
E04,"This recommendation is making me feel pressured; give me a lower-demand choice without pushing.",adapt,"Independent pressure and autonomy example."
E05,"An unexpected call has been scheduled exactly when I planned to train.",postpone,"Independent schedule-conflict example."
E06,"There are only five minutes before I have to leave for another appointment.",postpone,"Independent insufficient-time example."
E07,"The fitness centre has shut for maintenance, so today's booking cannot happen.",postpone,"Independent venue-unavailable example."
E08,"今晚临时要加班，我想把训练改到星期六。",postpone,"Independent Chinese postponement example."
E09,"I choose not to work out today. Please close the plan.",decline,"Independent explicit decline."
E10,"Do not offer me a walk or a replacement session; I want today off.",decline,"Independent rejection of substitutes."
E11,"Cancel this session without rescheduling it.",decline,"Independent cancellation without postponement."
E12,"我不想继续今天的运动决定，也不需要任何替代建议。",decline,"Independent Chinese decline example."
E13,"A sharp pain appeared in my ankle all of a sudden.",safety_stop,"Independent sudden sharp pain phrasing."
E14,"My chest hurts and I am feeling dizzy.",safety_stop,"Independent chest-pain and dizziness phrasing."
E15,"It is difficult to breathe and I feel like I might faint.",safety_stop,"Independent breathing and fainting phrasing."
E16,"运动时突然胸痛，而且越来越严重。",safety_stop,"Independent Chinese safety phrasing."
