scenario_id,scenario_text,category,rationale,suggested_action,safety_flag,data_source,review_status
A01,"I planned a full workout after work, but I feel mentally tired and the session now feels too demanding.",adapt,"The plan still appears possible, but its demand no longer matches the user's current energy.","Offer a shorter or lower-demand version while keeping the final choice with the user.",false,"LLM-assisted synthetic seed data","manually review required"
A02,"My legs have ordinary mild soreness from yesterday's workout, with no sudden or unusual pain.",adapt,"Normal post-training soreness may call for reducing demand rather than repeating the original plan unchanged.","Offer a lower-demand option and make stopping or declining equally visible.",false,"LLM-assisted synthetic seed data","manually review required"
A03,"I slept less than usual and feel low on energy, but I still want to do something gentle.",adapt,"The user wants to remain active but has less capacity than expected.","Offer a shorter, lower-demand alternative without presenting it as a requirement.",false,"LLM-assisted synthetic seed data","manually review required"
A04,"I do not want to go outside for the planned run, but an indoor option would feel manageable.",adapt,"The barrier concerns location and format rather than a complete refusal to exercise.","Offer an indoor or lower-friction alternative and preserve a clear decline option.",false,"LLM-assisted synthetic seed data","manually review required"
A05,"My performance is worse than expected today and I want to reduce the intensity.",adapt,"The user's current performance does not match the earlier plan.","Reduce the plan's intensity or duration and explain what changed.",false,"LLM-assisted synthetic seed data","manually review required"
A06,"I started training but want to finish earlier because I am more tired than expected.",adapt,"The user is asking to lower the remaining demand rather than continue the original session.","Offer an early finish or shorter remaining session without pressure to complete more.",false,"LLM-assisted synthetic seed data","manually review required"
A07,"The recommendation makes me feel guilty for not doing the full session.",adapt,"Pressure from the recommendation is itself a reason to lower demand and restore autonomy.","Use neutral language, reduce the suggested demand, and show decline as a complete outcome.",false,"LLM-assisted synthetic seed data","manually review required"
A08,"下班后很累，但没有疼痛，我只想把今天的训练缩短一点。",adapt,"用户仍愿意训练，但当前精力与原计划不匹配。","提供更短、强度更低的选项，并保留完全不训练的选择。",false,"LLM-assisted synthetic seed data","manually review required"
A09,"今天状态比预期差，我想提前结束，不希望系统一直劝我坚持。",adapt,"用户希望降低行动负担并停止重复劝说。","提供提前结束的低压力选项，不重复施压。",false,"LLM-assisted synthetic seed data","manually review required"
P01,"A client meeting now overlaps with the workout time.",postpone,"The barrier is a clear schedule conflict rather than a change in exercise preference.","Offer a later time or another day without automatically rescheduling.",false,"LLM-assisted synthetic seed data","manually review required"
P02,"I only have ten minutes before my next appointment and cannot complete the planned session.",postpone,"Available time is substantially shorter than the planned session.","Offer to move the plan or choose a deliberately shorter option.",false,"LLM-assisted synthetic seed data","manually review required"
P03,"Work ran late and I will miss the gym booking.",postpone,"The original time and place are no longer available.","Offer a new time while allowing the user to cancel without replacement.",false,"LLM-assisted synthetic seed data","manually review required"
P04,"I need to look after my child during the time I planned to exercise.",postpone,"A competing responsibility blocks the planned time.","Offer to move the session and avoid implying that postponement is failure.",false,"LLM-assisted synthetic seed data","manually review required"
P05,"My train is delayed and I will not reach the gym before it closes.",postpone,"Travel disruption makes the original session impractical.","Offer another time or day, with no automatic commitment.",false,"LLM-assisted synthetic seed data","manually review required"
P06,"I forgot the equipment required for today's planned workout.",postpone,"A practical dependency for the planned session is missing.","Offer to postpone or choose a different format if the user wants one.",false,"LLM-assisted synthetic seed data","manually review required"
P07,"The gym is unexpectedly closed today.",postpone,"The planned location is unavailable.","Offer to move the session and keep alternatives optional.",false,"LLM-assisted synthetic seed data","manually review required"
P08,"临时会议占用了训练时间，我想把预约改到明天。",postpone,"明确的时间冲突使原计划无法按时进行。","允许用户选择新的时间，不自动替用户确认。",false,"LLM-assisted synthetic seed data","manually review required"
P09,"我错过了今天的训练时间，希望改到周末，而不是现在补练。",postpone,"用户明确希望把计划移动到之后。","提供改期选项，不把立即补练作为默认答案。",false,"LLM-assisted synthetic seed data","manually review required"
D01,"I have decided that I do not want to exercise today.",decline,"The user has made an explicit decision not to exercise.","End today's plan without prescribing a substitute and confirm that the choice is theirs.",false,"LLM-assisted synthetic seed data","manually review required"
D02,"I want a rest day and I do not want an alternative workout.",decline,"The user rejects both the original plan and replacement activity.","Confirm the rest decision and end the recommendation flow neutrally.",false,"LLM-assisted synthetic seed data","manually review required"
